Constituent Number,Company(Y|N),City,State,County Name,Postal Code,Gender
2237,0,Smyrna,TN,Rutherford,37167,female
2238,0,Franklin,TN,Williamson,37064,male
2239,0,Murfreesboro,TN,Rutherford,37128,unknown
2240,0,Smyrna,TN,Rutherford,37167,female
2241,0,,,,,male
2242,0,Christiana,TN,Rutherford,37037,male
2243,0,Brentwood,TN,Williamson,37027,male
2244,0,,,,,male
2246,0,Murfreesboro,TN,Rutherford,37129,male
2247,0,Murfreesboro,TN,Rutherford,37129,male
2248,0,Ringgold,GA,Catoosa,30736,male
2249,0,Murfreesboro,TN,Rutherford,37130,female
2250,0,Hixson,TN,Hamilton,37343,female
2251,1,Murfreesboro,TN,Rutherford,37129,unknown
2252,0,El Paso,TX,,79913,male
2253,0,Winchester,TN,Franklin,37398,female
2254,0,Winchester,TN,Franklin,37398,female
2255,0,Tullahoma,TN,Coffee,37388,male
2256,0,Rockvale,TN,Rutherford,37153,male
2257,0,Greensboro,NC,,27406,male
2258,0,Murfreesboro,TN,Rutherford,37129,female
2259,0,Murfreesboro,TN,Rutherford,37129,male
2260,0,Murfreesboro,TN,Rutherford,37128,male
2261,0,Murfreesboro,TN,Rutherford,37128,female
2262,0,Murfreesboro,TN,Rutherford,37128,male
2263,0,,,,,female
2264,0,Murfreesboro,TN,Rutherford,37128,female
2265,0,Castalian Springs,TN,,37031,male
2266,0,Castalian Springs,TN,,37031,female
2267,0,Lebanon,TN,Wilson,37090,male
2268,0,Lebanon,TN,Wilson,37090,female
2269,0,Castalian Springs,TN,,37031,unknown
2270,0,Castalian Springs,TN,,37031,female
2271,0,Murfreesboro,TN,Rutherford,37130,female
2272,0,Murfreesboro,TN,Rutherford,37127,male
2273,0,Murfreesboro,TN,Rutherford,37127,female
2274,0,Nolensville,TN,Williamson,37135,male
2275,0,Nolensville,TN,Williamson,37135,female
2276,0,Christiana,TN,Rutherford,37037,female
2277,0,Savannah,TN,,38372,male
2278,0,Savannah,TN,,38372,unknown
2279,0,Murfreesboro,TN,Rutherford,37128,unknown
2280,0,Savannah,TN,,38372,female
2281,0,Savannah,TN,,38372,female
2282,0,La Vergne,TN,Rutherford,37086,female
2283,0,Murfreesboro,TN,Rutherford,37128,female
2284,0,Savannah,TN,,38372,male
2285,0,Savannah,TN,,38372,female
2286,0,Smyrna,TN,Rutherford,37167,male
2287,0,Smyrna,TN,Rutherford,37167,female
2288,0,Lascassas,TN,Wilson,37085,unknown
2289,0,Smithville,TN,Dekalb,37166,female
2290,0,Murfreesboro,TN,Rutherford,37130,female
2291,0,Murfreesboro,TN,Rutherford,37129,unknown
2292,0,Lebanon,TN,Wilson,37090,male
2293,0,Lebanon,TN,Wilson,37090,unknown
2294,0,Lebanon,TN,Wilson,37090,male
2295,0,Lebanon,TN,Wilson,37090,female
2296,1,Lenox Dale,MA,,1242,unknown
2297,0,Escondido,CA,,92029,male
2298,0,Escondido,CA,,92029,unknown
2299,0,Knoxville,TN,Knox,37922,male
2300,0,Knoxville,TN,Knox,37922,unknown
2301,0,Knoxville,TN,Knox,37922,male
2302,0,Knoxville,TN,Knox,37922,unknown
2303,0,Dalton,MA,,1226,male
2304,0,Dalton,MA,,1226,female
2305,0,Knoxville,TN,Knox,37922,male
2306,0,Knoxville,TN,Knox,37922,female
2307,0,Knoxville,TN,Knox,37922,male
2308,0,Knoxville,TN,Knox,37922,female
2309,0,Knoxville,TN,,37931,unknown
2310,0,Knoxville,TN,,37931,unknown
2311,0,Knoxville,TN,Knox,37922,unknown
2312,0,Nashville,TN,Davidson,37215,female
2313,0,Nashville,TN,Davidson,37211,female
2314,0,Polson,MT,,59860,male
2315,0,Polson,MT,,59860,unknown
2316,0,Nashville,TN,Davidson,37211,unknown
2317,0,Nashville,TN,Davidson,37211,unknown
2318,0,Lascassas,TN,Wilson,37085,unknown
2319,0,Lascassas,TN,Wilson,37085,female
2320,0,Murfreesboro,TN,Rutherford,37128,unknown
2321,0,Murfreesboro,TN,Rutherford,37128,female
2322,0,Manchester,TN,Coffee,37355,unknown
2323,0,Manchester,TN,Coffee,37355,unknown
2324,0,Birmingham,AL,,35242,male
2325,0,Birmingham,AL,,35242,unknown
2326,0,Houston,TX,,77063,unknown
2327,0,Houston,TX,,77063,unknown
2328,1,Murfreesboro,TN,Rutherford,37130,unknown
2329,0,Murfreesboro,TN,Rutherford,37129,unknown
2330,0,Murfreesboro,TN,Rutherford,37129,unknown
2331,0,Memphis,TN,,38104,unknown
2332,0,Memphis,TN,,38104,unknown
2333,0,Lafayette,TN,Macon,37083,unknown
2334,0,Murfreesboro,TN,Rutherford,37129,female
