,DonorID,Donation Amount_s,Donation Amount_c,female,male,unknown,2009_Other,2010_Other,2011_Other,2012_Other,2012_SKRace,2013_Other,2013_SKRace,2014_Other,2014_SKRace,2015_Other,2015_SKRace,2016_Concert,2016_Other,2016_Request,2016_SKRace,2016_ThankYou,2016_Tour,2017_Banquet,2017_GolfOuting,2017_Other,2017_Request,2017_SKRace,2017_ThankYou,2017_Tour,2018_Banquet,2018_Other,2018_Request,2018_SKRace,2018_ThankYou,2018_Tour,2009_e,2010_e,2011_e,2012_e,2013_e,2014_e,2015_e,2016_e,2017_e,2018_e,2009_dcnt,2010_dcnt,2011_dcnt,2012_dcnt,2013_dcnt,2014_dcnt,2015_dcnt,2016_dcnt,2017_dcnt,2018_dcnt,2009_dsum,2010_dsum,2011_dsum,2012_dsum,2013_dsum,2014_dsum,2015_dsum,2016_dsum,2017_dsum,2018_dsum,donate_1,donate_2,donate_1_4,donate_2_4
18,65,17.15,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0,0,0
19,66,100,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20,68,261,6,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,61,100,0,0,0,0,0,0,0,0,0,0,0,0
21,69,20,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
22,70,50,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
23,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,72,40,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
25,73,22300,22,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,1,0,0,0,1,1,1,0,1,3,5,2,0,0,1,2,0,0,0,2,1,1500,0,0,2500,4750,0,0,0,1500,2500,2,1,0,0
26,74,20,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
27,75,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
