Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
3794,Spouse,0,3795,0
7427,Spouse,0,2671,0
755,Spouse,0,754,0
10099,Spouse,0,10098,0
7917,Spouse,0,4616,0
10098,Spouse,0,10099,0
4616,Spouse,0,7917,0
12174,Spouse,0,12245,0
12174,Daughter,0,12089,0
12245,Spouse,0,12174,0
12245,Daughter,0,12089,0
1743,Spouse,0,756,0
756,Spouse,0,1743,0
8535,Employee,1,2596,0
8535,Employee,1,18190,0
8535,Employee,1,8534,0
4960,Spouse,0,3185,0
3007,Spouse,0,10422,0
10422,Spouse,0,3007,0
3185,Spouse,0,4960,0
12144,Spouse,0,12177,0
12177,Spouse,0,12144,0
2298,Spouse,0,2297,0
9120,Spouse,0,9119,0
9119,Spouse,0,9120,0
7724,Spouse,0,11293,0
11293,Spouse,0,7724,0
9787,Spouse,0,9788,0
9788,Spouse,0,9787,0
6865,Spouse,0,4920,0
4920,Spouse,0,6865,0
8099,Spouse,0,8100,0
8100,Spouse,0,8099,0
5372,Spouse,0,5371,0
5371,Spouse,0,5372,0
9921,Spouse,0,9923,0
7391,Spouse,0,7392,0
9923,Spouse,0,9921,0
761,Spouse,0,762,0
762,Spouse,0,761,0
7392,Spouse,0,7391,0
6705,Spouse,0,6704,0
6704,Spouse,0,6705,0
4426,Employer,0,162,1
15232,Spouse,0,4417,0
4417,Spouse,0,15232,0
9122,Spouse,0,9121,0
5100,Spouse,0,5101,0
5101,Spouse,0,5100,0
9121,Spouse,0,9122,0
6980,Spouse,0,6981,0
6981,Spouse,0,6980,0
765,Spouse,0,6515,0
6515,Spouse,0,765,0
4961,Spouse,0,1710,0
1710,Spouse,0,4961,0
8877,Spouse,0,8876,0
8876,Spouse,0,8877,0
7922,Spouse,0,7921,0
7921,Spouse,0,7922,0
1818,Spouse,0,1819,0
1819,Spouse,0,1818,0
2196,Spouse,0,2193,0
2193,Spouse,0,2196,0
6503,Spouse,0,6502,0
6502,Spouse,0,6503,0
12960,Spouse,0,19366,0
19366,Spouse,0,12960,0
12149,Spouse,0,14941,0
10443,Employer,0,1416,1
14941,Spouse,0,12784,0
14941,Spouse,0,12149,0
3316,Spouse,0,3315,0
3315,Spouse,0,3316,0
2204,Spouse,0,2203,0
2203,Spouse,0,2204,0
6117,Spouse,0,6118,0
6118,Spouse,0,6117,0
9545,Spouse,0,10613,0
10613,Spouse,0,9545,0
4229,Spouse,0,4230,0
4230,Spouse,0,4229,0
1416,Employee,1,4344,0
1416,Employee,1,9952,0
1416,Employee,1,458,0
1416,Employee,1,10443,0
1416,Employee,1,11547,0
9244,Spouse,0,9245,0
9245,Spouse,0,9244,0
4963,Spouse,0,769,0
769,Spouse,0,4963,0
20882,Wife,0,20883,0
9985,Spouse,0,9986,0
9986,Spouse,0,9985,0
20883,Spouse,0,20882,0
6054,Spouse,0,6055,0
1866,Spouse,0,1867,0
1867,Spouse,0,1866,0
6055,Spouse,0,6054,0
7017,Spouse,0,7018,0
7018,Spouse,0,7017,0
11083,Spouse,0,11084,0
11084,Spouse,0,11083,0
12388,Employer,0,1484,1
12388,Spouse,0,12387,0
