Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
842,Owned Organization,0,150,1
842,Employer,0,150,1
842,Spouse,0,843,0
843,Parent,0,9107,0
843,Father,0,242,0
843,Spouse,0,842,0
844,Spouse,0,845,0
845,Spouse,0,844,0
10585,Spouse,0,10584,0
10584,Spouse,0,10585,0
3337,Spouse,0,3338,0
3338,Spouse,0,3337,0
5164,Spouse,0,5165,0
5165,Spouse,0,5164,0
9720,Employer,0,8495,1
5842,Spouse,0,5845,0
5845,Spouse,0,5842,0
11378,Spouse,0,9473,0
9473,Spouse,0,11378,0
4975,Spouse,0,4976,0
4976,Spouse,0,4975,0
849,Spouse,0,848,0
5568,Spouse,0,5567,0
5567,Spouse,0,5568,0
848,Spouse,0,849,0
3943,Spouse,0,3944,0
3944,Spouse,0,3943,0
6152,Spouse,0,6371,0
6371,Spouse,0,6152,0
8792,Spouse,0,8793,0
6643,Spouse,0,6642,0
8793,Spouse,0,8792,0
6642,Spouse,0,6643,0
2131,Spouse,0,11302,0
11302,Spouse,0,2131,0
7126,Spouse,0,7127,0
5406,Employer,0,6539,1
7127,Spouse,0,7126,0
7246,Spouse,0,7245,0
7245,Spouse,0,7246,0
11033,Spouse,0,11032,0
11032,Spouse,0,11033,0
850,Employer,0,9015,1
850,Spouse,0,2432,0
2432,Employer,0,9983,1
2432,Spouse,0,850,0
9302,Owner,1,9852,1
174,Employee,1,7546,0
2617,Spouse,0,2616,0
2616,Spouse,0,2617,0
2216,Employee,1,2217,0
851,Spouse,0,852,0
852,Spouse,0,851,0
854,Spouse,0,853,0
853,Spouse,0,854,0
8711,Spouse,0,8712,0
8712,Spouse,0,8711,0
12718,Employer,0,12651,1
7340,Spouse,0,7339,0
7339,Spouse,0,7340,0
8789,Spouse,0,8790,0
8790,Spouse,0,8789,0
2557,Spouse,0,2556,0
3883,Spouse,0,3882,0
3882,Spouse,0,3883,0
2556,Spouse,0,2557,0
2762,Spouse,0,4977,0
4977,Spouse,0,2762,0
12098,Spouse,0,12097,0
9552,Spouse,0,9553,0
9553,Spouse,0,9552,0
12097,Spouse,0,12098,0
6880,Spouse,0,6881,0
6881,Spouse,0,6880,0
8285,Spouse,0,8282,0
6590,Spouse,0,6591,0
6591,Spouse,0,6590,0
8282,Spouse,0,8285,0
10078,Spouse,0,10077,0
10077,Spouse,0,10078,0
8035,Employer,0,8028,1
6776,Spouse,0,6777,0
10041,Spouse,0,10040,0
10040,Spouse,0,10041,0
6777,Spouse,0,6776,0
10103,Spouse,0,10102,0
10102,Spouse,0,10103,0
7629,Spouse,0,7628,0
7628,Spouse,0,7629,0
7021,Spouse,0,7022,0
7022,Spouse,0,7021,0
4428,Employer,0,162,1
2339,Spouse,0,2340,0
2340,Spouse,0,2339,0
6572,Spouse,0,6573,0
6573,Spouse,0,6572,0
862,Spouse,0,863,0
862,Employer,0,1434,1
863,Spouse,0,862,0
3482,Employer,0,1304,1
864,Spouse,0,865,0
865,Spouse,0,864,0
10921,Spouse,0,10922,0
11480,Spouse,0,11481,0
10922,Spouse,0,10921,0
11481,Spouse,0,11480,0
9652,Spouse,0,9653,0
9653,Spouse,0,9652,0
28808,Owned Organization,1,28592,0
28808,Owner,1,28592,0
2156,Spouse,0,2157,0
2157,Spouse,0,2156,0
12721,Employer,0,1487,1
1860,Spouse,0,1861,0
1861,Spouse,0,1860,0
11399,Owner,1,6923,0
8575,Employer,0,8543,1
9074,Spouse,0,9073,0
9135,Spouse,0,9134,0
9134,Spouse,0,9135,0
9073,Spouse,0,9074,0
9651,Spouse,0,9650,0
9651,Spouse,0,9650,0
7251,Spouse,0,7252,0
6824,Spouse,0,6823,0
8674,Spouse,0,8675,0
5977,Spouse,0,5976,0
4978,Spouse,0,3231,0
8675,Spouse,0,8674,0
2381,Spouse,0,2380,0
6823,Spouse,0,6824,0
7252,Employer,0,172,1
7252,Spouse,0,7251,0
1910,Spouse,0,1909,0
2380,Spouse,0,2381,0
9650,Spouse,0,9651,0
9650,Spouse,0,9651,0
3231,Spouse,0,4978,0
5976,Spouse,0,5977,0
1909,Spouse,0,1910,0
9249,Owner,1,6926,1
1497,Owner,1,964,0
1497,Owner,1,965,0
873,Employer,0,1501,1
12272,Employer,0,1501,1
4416,Employee,1,3909,0
4416,Employee,1,2113,0
9339,Employee,1,9338,0
5644,Employee,1,26627,0
5644,Employee,1,1116,0
5644,Employee,1,2433,0
5644,Employee,1,10431,0
5617,Spouse,0,5453,0
5453,Spouse,0,5617,0
121,Employer,0,134,1
5259,Spouse,0,5258,0
5258,Spouse,0,5259,0
10441,Spouse,0,10440,0
10440,Spouse,0,10441,0
1757,Employee,1,1070,0
4400,Spouse,0,4401,0
4401,Spouse,0,4400,0
1436,Owner,1,441,0
1420,Employee,1,7973,0
1420,Owner,1,719,0
1420,Owner,1,719,0
1330,Employee,1,5674,0
2718,Owner,1,5094,0
7681,Owner,1,7681,1
7681,Owned Organization,1,7681,1
7171,Owner,1,7172,0
1501,Employee,1,12272,0
1501,Employee,1,873,0
24605,Unknown,1,1998,0
8963,Acknowledgment Recipient,1,1998,0
8408,Owner,1,8418,0
8408,Owner,1,8419,0
12089,Parent,0,12245,0
12089,Parent,0,12174,0
12089,Employer,0,134,1
12089,Significant Other,0,19566,0
21451,Child,0,19566,0
21451,Wife,0,6162,0
6162,Spouse,0,6161,0
6162,Spouse,0,21451,0
6162,Child,0,19566,0
6162,Employer,0,15404,1
122,Child,0,2438,0
122,Family,0,19566,0
19566,Father,0,21451,0
19566,Significant Other,0,12089,0
19566,Mother,0,6162,0
19566,Uncle,0,122,0
15404,Employee,1,6162,0
8496,Employer,0,2440,1
5219,Spouse,0,5220,0
7336,Spouse,0,7335,0
5220,Spouse,0,5219,0
7335,Spouse,0,7336,0
3495,Spouse,0,6468,0
6468,Spouse,0,3495,0
2235,Spouse,0,4238,0
875,Spouse,0,876,0
5108,Spouse,0,5109,0
5310,Spouse,0,5309,0
4238,Spouse,0,2235,0
5309,Spouse,0,5310,0
877,Spouse,0,878,0
878,Spouse,0,877,0
876,Spouse,0,875,0
5109,Spouse,0,5108,0
9568,Spouse,0,9567,0
9567,Spouse,0,9568,0
10028,Employer,0,8028,1
4979,Spouse,0,123,0
1832,Spouse,0,1831,0
123,Spouse,0,4979,0
1831,Spouse,0,1832,0
7967,Spouse,0,9863,0
9863,Spouse,0,7967,0
5110,Spouse,0,5111,0
5111,Spouse,0,5110,0
14828,Spouse,0,8095,0
6816,Spouse,0,6817,0
6817,Spouse,0,6816,0
23435,Employee,1,12286,0
23435,Owner,1,12286,0
1983,Spouse,0,1984,0
1984,Spouse,0,1983,0
7656,Spouse,0,3778,0
3778,Spouse,0,7656,0
21443,Husband,0,21444,0
21444,Wife,0,21443,0
21444,Spouse,0,21443,0
5014,Spouse,0,4998,0
4998,Spouse,0,5014,0
1333,Owner,1,63,0
1333,Employee,1,63,0
885,Spouse,0,886,0
887,Spouse,0,888,0
886,Spouse,0,885,0
888,Spouse,0,887,0
5530,Owned Organization,0,7594,1
5530,Spouse,0,5531,0
5531,Spouse,0,5530,0
8040,Employer,0,8028,1
7279,Spouse,0,7278,0
7278,Spouse,0,7279,0
14904,Spouse,0,14919,0
14919,Spouse,0,14904,0
891,Spouse,0,892,0
892,Spouse,0,891,0
893,Employer,0,6614,1
893,Owned Organization,0,6614,1
893,Spouse,0,1636,0
6678,Spouse,0,6679,0
6679,Spouse,0,6678,0
1636,Spouse,0,893,0
20180,Spouse,0,20917,0
20917,Husband,0,20180,0
25165,Owner,1,11235,0
9326,Spouse,0,9327,0
9327,Spouse,0,9326,0
8132,Spouse,0,8133,0
8133,Spouse,0,8132,0
7766,Spouse,0,7767,0
7767,Spouse,0,7766,0
8415,Employee,1,8494,0
6138,Parent in law,0,7468,0
6138,Parent in law,0,6137,0
6137,Daughter in law,0,6138,0
6137,Spouse,0,7468,0
7468,Spouse,0,6137,0
7468,Daughter in law,0,6138,0
3784,Owner,1,322,0
181,Owner,1,590,0
181,Employee,1,590,0
10861,Employer,0,12486,1
10861,Spouse,0,3008,0
3008,Spouse,0,10861,0
12168,Employer,0,9983,1
6630,Spouse,0,1564,0
1564,Spouse,0,6630,0
63,Owned Organization,0,1333,1
63,Employer,0,1333,1
63,Spouse,0,62,0
42,Employer,0,134,1
42,Spouse,0,1527,0
2621,Spouse,0,2622,0
2622,Spouse,0,2621,0
1527,Employer,0,134,1
1527,Spouse,0,42,0
62,Employer,0,7099,1
62,Spouse,0,63,0
64,Spouse,0,8768,0
8768,Spouse,0,64,0
2194,Employee,1,11156,0
2194,Employee,1,18841,0
7734,Spouse,0,7735,0
7735,Spouse,0,7734,0
8631,Husband,0,4942,0
4942,Spouse,0,8631,0
5180,Spouse,0,5179,0
5179,Spouse,0,5180,0
11220,Employer,0,2834,1
11220,Spouse,0,1794,0
1794,Spouse,0,11220,0
8743,Spouse,0,8684,0
8743,Spouse,0,9301,0
8353,Spouse,0,8352,0
5843,Spouse,0,5844,0
896,Spouse,0,6380,0
8684,Spouse,0,8743,0
6380,Spouse,0,896,0
6088,Spouse,0,6089,0
2058,Spouse,0,6204,0
6089,Spouse,0,6088,0
9301,Spouse,0,8743,0
8089,Spouse,0,8090,0
8352,Spouse,0,8353,0
8090,Spouse,0,8089,0
5844,Spouse,0,5843,0
6204,Spouse,0,2058,0
12563,Employee,1,1667,0
12563,Employee,1,12562,0
3804,Spouse,0,18667,0
18666,Spouse,0,18667,0
18667,Spouse,0,18666,0
18667,Spouse,0,3804,0
6901,Spouse,0,6902,0
6902,Spouse,0,6901,0
5978,Employee,1,10265,0
5978,Owner,1,10265,0
1335,Employee,1,12029,0
6139,Spouse,0,3106,0
3106,Spouse,0,6139,0
899,Spouse,0,899,0
1521,Owned Organization,1,1522,1
1522,Employee,1,7563,0
1522,Employee,1,27264,0
1522,Owner,1,1521,1
4179,Spouse,0,7759,0
7759,Spouse,0,4179,0
11701,Spouse,0,3083,0
3083,Employer,0,6326,1
3083,Spouse,0,11701,0
23755,Employer,0,8114,1
19944,Spouse,0,19945,0
19945,Spouse,0,19944,0
3840,Spouse,0,8781,0
10943,Spouse,0,10940,0
10940,Spouse,0,10943,0
8781,Spouse,0,3840,0
8763,Spouse,0,8764,0
8764,Spouse,0,8763,0
5650,Spouse,0,5651,0
5651,Spouse,0,5650,0
7401,Spouse,0,7400,0
7400,Spouse,0,7401,0
21393,Spouse,0,21392,0
21392,Wife,0,21393,0
10385,Employer,0,134,1
6931,Spouse,0,6932,0
6932,Spouse,0,6931,0
12207,Spouse,0,12208,0
12208,Spouse,0,12207,0
5631,Spouse,0,5630,0
5630,Spouse,0,5631,0
10528,Spouse,0,10442,0
10442,Spouse,0,10528,0
2625,Employer,0,1006,1
10591,Spouse,0,10590,0
10590,Spouse,0,10591,0
5427,Spouse,0,5428,0
5428,Spouse,0,5427,0
3713,Spouse,0,21795,0
21795,Spouse,0,3713,0
8538,Employer,0,143,1
8509,Employer,0,1487,1
5113,Spouse,0,5114,0
5114,Spouse,0,5113,0
8312,Employee,1,397,0
1434,Employer,1,7375,0
1434,Employee,1,862,0
10337,Spouse,0,9392,0
9392,Spouse,0,10337,0
17741,Owner,1,16188,0
4411,Employee,1,3906,0
12218,Spouse,0,12219,0
12219,Spouse,0,12218,0
1834,Spouse,0,1833,0
1833,Spouse,0,1834,0
8261,Employer,0,8495,1
4053,Spouse,0,4055,0
4055,Spouse,0,4053,0
905,Spouse,0,906,0
906,Spouse,0,905,0
7268,Spouse,0,7267,0
7267,Spouse,0,7268,0
10529,Spouse,0,10517,0
10517,Spouse,0,10529,0
5115,Spouse,0,5116,0
5116,Spouse,0,5115,0
3288,Owned Organization,0,182,1
3288,Employer,0,182,1
1988,Spouse,0,1989,0
1989,Spouse,0,1988,0
5032,Spouse,0,5033,0
5033,Spouse,0,5032,0
909,Spouse,0,6381,0
9717,Spouse,0,9343,0
6381,Spouse,0,909,0
9343,Spouse,0,9717,0
1829,Spouse,0,1830,0
8054,Employer,0,8028,1
1830,Spouse,0,1829,0
7935,Spouse,0,7934,0
7934,Spouse,0,7935,0
913,Spouse,0,912,0
912,Spouse,0,913,0
7151,Spouse,0,3896,0
3896,Spouse,0,7151,0
1828,Spouse,0,5382,0
5382,Spouse,0,1828,0
4981,Spouse,0,2728,0
2728,Spouse,0,4981,0
8713,Employer,0,12119,1
8713,Spouse,0,8810,0
8810,Spouse,0,8713,0
914,Spouse,0,915,0
915,Spouse,0,914,0
6142,Spouse,0,6143,0
6143,Spouse,0,6142,0
10696,Spouse,0,24380,0
24380,Spouse,0,10696,0
21462,Spouse,0,21463,0
21463,Husband,0,21462,0
9887,Spouse,0,9888,0
9888,Spouse,0,9887,0
11254,Spouse,0,18066,0
18066,Spouse,0,11254,0
7752,Spouse,0,7751,0
7751,Spouse,0,7752,0
19567,Employer,0,11539,1
2626,Employer,0,1457,1
917,Spouse,0,5118,0
5118,Spouse,0,917,0
7224,Spouse,0,7223,0
7223,Spouse,0,7224,0
6441,Spouse,0,6440,0
5299,Spouse,0,5298,0
5298,Spouse,0,5299,0
6440,Spouse,0,6441,0
8540,Employer,0,8542,1
11159,Spouse,0,11158,0
11158,Spouse,0,11159,0
5776,Spouse,0,2871,0
2871,Spouse,0,5776,0
9279,Spouse,0,7871,0
7871,Spouse,0,9279,0
8577,Spouse,0,125,0
125,Spouse,0,8577,0
5887,Spouse,0,5886,0
5886,Spouse,0,5887,0
2113,Employer,0,4416,1
8495,Employee,1,367,0
8495,Employee,1,12641,0
8495,Employee,1,4632,0
8495,Employee,1,6945,0
8495,Employee,1,787,0
8495,Employee,1,9720,0
8495,Employee,1,8261,0
6007,Spouse,0,6006,0
6006,Spouse,0,6007,0
10998,Spouse,0,10999,0
10999,Spouse,0,10998,0
7694,Spouse,0,7695,0
7695,Spouse,0,7694,0
12075,Spouse,0,12102,0
12102,Spouse,0,12075,0
920,Spouse,0,919,0
919,Spouse,0,920,0
6399,Spouse,0,6398,0
8770,Spouse,0,8741,0
6398,Spouse,0,6399,0
8741,Spouse,0,8770,0
6871,Spouse,0,6872,0
6872,Spouse,0,6871,0
3930,Spouse,0,3929,0
8017,Spouse,0,8018,0
3929,Spouse,0,3930,0
9213,Spouse,0,6718,0
9953,Spouse,0,9954,0
9954,Spouse,0,9953,0
2215,Spouse,0,2214,0
2214,Spouse,0,2215,0
6718,Spouse,0,9213,0
8018,Spouse,0,8017,0
12966,Acknowledgment Recipient,1,6386,0
925,Spouse,0,924,0
924,Spouse,0,925,0
9540,Spouse,0,2188,0
9298,Spouse,0,9297,0
9297,Spouse,0,9298,0
2188,Spouse,0,9540,0
2188,Spouse,0,2187,0
9225,Spouse,0,9226,0
9226,Spouse,0,9225,0
2187,Spouse,0,2188,0
19642,Spouse,0,19643,0
2159,Spouse,0,2158,0
2158,Spouse,0,2159,0
19643,Husband,0,19642,0
6576,Spouse,0,6575,0
6575,Employer,0,7496,1
6575,Spouse,0,6576,0
182,Owner,1,3288,0
182,Employee,1,3288,0
7358,Spouse,0,7357,0
7357,Spouse,0,7358,0
6132,Spouse,0,6133,0
6133,Spouse,0,6132,0
5274,Spouse,0,928,0
928,Spouse,0,5274,0
12730,Employer,0,1487,1
6641,Spouse,0,6644,0
11547,Contact Person #1,0,12087,1
11547,Employer,0,1416,1
11547,Spouse,0,11548,0
929,Spouse,0,930,0
9231,Spouse,0,9230,0
9230,Spouse,0,9231,0
930,Spouse,0,929,0
2880,Owned Organization,0,20409,1
2880,Spouse,0,8461,0
12046,Owned Organization,0,9436,1
6627,Spouse,0,1565,0
8795,Spouse,0,8794,0
2015,Spouse,0,2389,0
2389,Spouse,0,2015,0
8794,Spouse,0,8795,0
8461,Spouse,0,2880,0
7757,Spouse,0,7758,0
1565,Spouse,0,6627,0
7758,Spouse,0,7757,0
6644,Spouse,0,6641,0
11548,Spouse,0,11547,0
9436,Owner,1,12046,0
5009,Spouse,0,5010,0
5010,Spouse,0,5009,0
7685,Spouse,0,7533,0
7533,Spouse,0,7685,0
2917,Spouse,0,4984,0
4984,Spouse,0,2917,0
8142,Spouse,0,8145,0
8145,Spouse,0,8142,0
9462,Spouse,0,9461,0
9461,Spouse,0,9462,0
18841,Employer,0,2194,1
934,Spouse,0,933,0
933,Spouse,0,934,0
1786,Spouse,0,1787,0
1787,Spouse,0,1786,0
10846,Spouse,0,10845,0
10845,Employer,0,134,1
10845,Spouse,0,10846,0
10110,Employer,0,8449,1
10110,Spouse,0,10111,0
7877,Spouse,0,7878,0
10111,Spouse,0,10110,0
7878,Spouse,0,7877,0
4403,Spouse,0,4402,0
4402,Spouse,0,4403,0
2331,Spouse,0,2332,0
7348,Spouse,0,7349,0
7349,Spouse,0,7348,0
936,Spouse,0,6592,0
6592,Spouse,0,936,0
7710,Spouse,0,7711,0
7711,Spouse,0,7710,0
25364,Husband,0,12410,0
12410,Wife,0,25364,0
6884,Spouse,0,6883,0
9227,Spouse,0,9228,0
7373,Spouse,0,7372,0
3311,Spouse,0,3310,0
2323,Spouse,0,2322,0
7744,Spouse,0,7745,0
10265,Employer,0,5978,1
10265,Owned Organization,0,5978,1
10265,Spouse,0,10265,0
10265,Spouse,0,10265,0
2324,Spouse,0,2325,0
1992,Spouse,0,2047,0
19365,Spouse,0,12929,0
6504,Spouse,0,6505,0
5539,Spouse,0,5537,0
1566,Spouse,0,6634,0
7372,Spouse,0,7373,0
2322,Spouse,0,2323,0
2047,Employer,0,1304,1
2047,Spouse,0,1992,0
6634,Spouse,0,1566,0
942,Spouse,0,941,0
5119,Spouse,0,2629,0
11266,Spouse,0,8697,0
4781,Spouse,0,10007,0
941,Spouse,0,942,0
8697,Spouse,0,11266,0
7581,Spouse,0,7581,0
7581,Spouse,0,7581,0
2325,Spouse,0,2324,0
2453,Spouse,0,4842,0
7745,Spouse,0,7744,0
6505,Spouse,0,6504,0
12929,Spouse,0,19365,0
5537,Spouse,0,5539,0
10007,Spouse,0,4781,0
6883,Spouse,0,6884,0
2629,Spouse,0,5119,0
4842,Spouse,0,2453,0
5525,Employer,0,1304,1
9228,Spouse,0,9227,0
3310,Spouse,0,3311,0
5197,Spouse,0,5195,0
5195,Spouse,0,5197,0
6917,Employer,0,5431,1
8872,Spouse,0,8873,0
5332,Spouse,0,5333,0
8873,Spouse,0,8872,0
5333,Spouse,0,5332,0
11228,Spouse,0,11229,0
11229,Spouse,0,11228,0
8787,Spouse,0,8786,0
8786,Spouse,0,8787,0
12561,Employer,0,12560,1
18016,Spouse,0,18015,0
14024,Spouse,0,12118,0
10014,Spouse,0,10015,0
9876,Spouse,0,9875,0
6910,Spouse,0,6909,0
4207,Employer,0,2912,1
4207,Spouse,0,4206,0
6909,Spouse,0,6910,0
12118,Spouse,0,14024,0
9875,Spouse,0,9876,0
10015,Spouse,0,10014,0
4206,Spouse,0,4207,0
183,Employee,1,2032,0
8875,Employer,0,9435,1
8875,Spouse,0,10198,0
6703,Spouse,0,6702,0
10198,Spouse,0,8875,0
6702,Spouse,0,6703,0
8358,Spouse,0,8357,0
8357,Spouse,0,8358,0
2674,Spouse,0,7421,0
7421,Spouse,0,2674,0
2229,Spouse,0,2228,0
2228,Spouse,0,2229,0
5388,Spouse,0,5387,0
5387,Spouse,0,5388,0
2633,Spouse,0,2631,0
2631,Spouse,0,2633,0
21752,Spouse,0,21753,0
21753,Spouse,0,21752,0
8368,Spouse,0,8369,0
8369,Spouse,0,8368,0
5480,Spouse,0,5481,0
5481,Spouse,0,5480,0
11096,Spouse,0,11096,0
11096,Spouse,0,11096,0
6888,Spouse,0,6887,0
6887,Spouse,0,6888,0
9798,Spouse,0,9797,0
9797,Spouse,0,9798,0
2180,Spouse,0,2179,0
2179,Spouse,0,2180,0
9333,Spouse,0,7009,0
7009,Spouse,0,9333,0
8400,Spouse,0,8401,0
8401,Spouse,0,8400,0
10508,Spouse,0,5889,0
5889,Spouse,0,10508,0
7470,Spouse,0,7469,0
7469,Spouse,0,7470,0
9353,Spouse,0,9352,0
10597,Spouse,0,10598,0
951,Spouse,0,951,0
951,Spouse,0,951,0
9352,Spouse,0,9353,0
10598,Spouse,0,10597,0
10530,Spouse,0,10511,0
10511,Spouse,0,10530,0
8457,Spouse,0,8456,0
8456,Spouse,0,8457,0
1383,Employee,1,2509,0
6632,Spouse,0,1567,0
1567,Spouse,0,6632,0
953,Spouse,0,954,0
954,Spouse,0,953,0
955,Spouse,0,956,0
956,Spouse,0,955,0
8419,Owned Organization,0,8408,1
8419,Spouse,0,8418,0
2635,Spouse,0,2636,0
2636,Spouse,0,2635,0
3745,Spouse,0,4985,0
6878,Spouse,0,6879,0
6879,Spouse,0,6878,0
4985,Spouse,0,3745,0
8418,Owned Organization,0,8408,1
8418,Spouse,0,8419,0
8979,Spouse,0,8980,0
8980,Spouse,0,8979,0
7221,Spouse,0,7220,0
7220,Spouse,0,7221,0
8847,Employer,0,1519,1
8847,Acknowledgment Recipient,0,12042,1
8534,Employer,0,8535,1
9149,Spouse,0,9150,0
962,Spouse,0,963,0
963,Spouse,0,962,0
10206,Spouse,0,10207,0
9150,Spouse,0,9149,0
10207,Spouse,0,10206,0
965,Owned Organization,0,1497,1
965,Spouse,0,964,0
964,Owned Organization,0,1497,1
964,Spouse,0,965,0
4233,Spouse,0,4234,0
2436,Spouse,0,11253,0
11253,Spouse,0,2436,0
4234,Employer,0,1301,1
4234,Spouse,0,4233,0
5409,Employee,1,12728,0
5409,Employee,1,8490,0
5409,Employee,1,12731,0
5409,Employee,1,11174,0
5409,Employee,1,5464,0
10063,Spouse,0,10267,0
10267,Spouse,0,10063,0
9069,Spouse,0,9070,0
9070,Spouse,0,9069,0
3945,Spouse,0,3946,0
3946,Spouse,0,3945,0
6127,Spouse,0,8746,0
12362,Spouse,0,9512,0
2006,Spouse,0,2005,0
9512,Spouse,0,12362,0
5121,Spouse,0,7374,0
9795,Spouse,0,9794,0
8746,Spouse,0,6127,0
968,Spouse,0,972,0
969,Spouse,0,970,0
2005,Spouse,0,2006,0
9794,Spouse,0,9795,0
5430,Spouse,0,5429,0
7374,Spouse,0,5121,0
970,Spouse,0,969,0
9523,Spouse,0,9524,0
9524,Spouse,0,9523,0
5429,Spouse,0,5430,0
972,Spouse,0,968,0
8754,Spouse,0,8755,0
8755,Spouse,0,8754,0
5012,Spouse,0,5013,0
5013,Spouse,0,5012,0
6693,Spouse,0,6692,0
6692,Spouse,0,6693,0
4986,Spouse,0,974,0
974,Spouse,0,4986,0
6092,Spouse,0,6091,0
6091,Spouse,0,6092,0
10466,Spouse,0,10465,0
10465,Spouse,0,10466,0
3886,Spouse,0,3887,0
3887,Spouse,0,3886,0
2213,Spouse,0,4989,0
