,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
160,1160,1055,9/4/2014 0:00,70,,,Friendraiser Banquet,2014 In Kind,1,0,1
161,1161,1057,9/4/2014 0:00,100,,,Friendraiser Banquet,2014 In Kind,1,0,1
162,1162,1070,1/1/2012 0:00,40,,,In Kind,2012 In Kind,1,0,1
163,1163,1070,9/13/2013 0:00,145000,,,In Kind,2013 In Kind,1,1,1
164,1164,1070,11/4/2013 0:00,50,,,In Kind,2013 In Kind,1,0,1
165,1165,1091,12/31/2013 0:00,900,,,In Kind,2013 In Kind,1,1,1
166,1166,1133,12/7/2012 0:00,250,,,In Kind,2012 In Kind,1,1,1
167,1167,1163,6/21/2012 0:00,150,,,In Kind,2012 In Kind,1,1,1
168,1168,1163,12/10/2012 0:00,50,,,In Kind,2012 In Kind,1,0,1
169,1169,1163,11/25/2013 0:00,150,,,In Kind,2013 Cornelius Chris,1,1,1
170,1170,1201,7/23/2015 0:00,60,,,In Kind,2015 In-Kind,0,0,1
171,1171,1201,7/28/2015 0:00,60,,,In Kind,2015 In-Kind,0,0,1
174,1174,1299,12/30/2015 0:00,400,,,Macedonia,2015 Cornelius Chris,0,1,1
175,1175,1301,6/13/2011 0:00,1038.4,,,In Kind,2011 In-Kind,0,1,1
176,1176,1301,7/1/2011 0:00,240,,,In Kind,2011 In-Kind,0,1,1
177,1177,1301,11/2/2011 0:00,240,,,In Kind,2011 In-Kind,0,1,1
178,1178,1301,3/31/2012 0:00,50,,,In Kind,2012 Special Kids Ra,0,0,1
179,1179,1301,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
180,1180,1301,3/31/2012 0:00,50,,,In Kind,2012 Special Kids Ra,0,0,1
181,1181,1301,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
182,1182,1301,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
183,1183,1301,12/31/2014 0:00,500,,,Macedonia,2014 Cornelius Chris,0,1,1
184,1184,1301,5/7/2015 0:00,650,,,In Kind,2015 Golf Classic,0,1,1
185,1185,1301,12/31/2015 0:00,10000,,,In Kind,2015 In-Kind,0,1,1
186,1186,1301,1/4/2016 0:00,100,,,In Kind,2015 In-Kind,0,0,1
187,1187,1301,3/19/2016 0:00,10000,,,In Kind,2016 In Kind,0,1,1
188,1188,1304,6/5/2013 0:00,150,,,In Kind,2013 Golf Classic,0,1,1
189,1189,1304,12/31/2013 0:00,75,,,In Kind,2013 In Kind,0,0,1
190,1190,1304,5/7/2015 0:00,800,,,In Kind,2015 Golf Classic,0,1,1
191,1191,1304,7/7/2015 0:00,30830,,,In Kind,2015 In-Kind,0,1,1
192,1192,1304,12/23/2015 0:00,1260,,,Macedonia,2014 Cornelius Chris,0,1,1
193,1193,1304,5/6/2016 0:00,800,,,In Kind,2016 In Kind,0,1,1
194,1194,1333,3/12/2012 0:00,150,,,In Kind,2012 In Kind,0,1,1
196,1196,1359,12/31/2011 0:00,500,,,In Kind,2011 In-Kind,0,1,1
198,1198,1359,12/31/2014 0:00,400,,,Macedonia,2014 Cornelius Chris,0,1,1
199,1199,1359,12/14/2015 0:00,600,,,Macedonia,2015 Cornelius Chris,0,1,1
200,1200,1376,12/21/2011 0:00,236,,,In Kind,2011 In-Kind,0,1,1
201,1201,1376,12/19/2012 0:00,600,,,In Kind,2012 In Kind,0,1,1
202,1202,1376,12/31/2013 0:00,271,,,In Kind,2013 In Kind,0,1,1
203,1203,1376,12/30/2014 0:00,145,,,In Kind,2014 In Kind,0,1,1
204,1204,1376,12/30/2015 0:00,450,,,In Kind,2015 In-Kind,0,1,1
206,1206,1378,12/31/2014 0:00,800,,,Macedonia,2014 Cornelius Chris,0,1,1
207,1207,1378,12/30/2015 0:00,800,,,Macedonia,2015 Cornelius Chris,0,1,1
208,1208,1379,12/31/2014 0:00,500,,,Macedonia,2014 Cornelius Chris,0,1,1
209,1209,1383,9/5/2013 0:00,1500,,,In Kind,2013 Friendraiser Ba,0,1,1
210,1210,1383,9/4/2014 0:00,1500,,,Friendraiser Banquet,2014 In Kind,0,1,1
211,1211,1401,9/5/2013 0:00,170,,,In Kind,2013 Friendraiser Ba,0,1,1
212,1212,1410,5/7/2015 0:00,250,,,In Kind,2015 Golf Classic,0,1,1
213,1213,1412,8/31/2012 0:00,50,,,In Kind,2012 Friendraiser Ba,0,0,1
214,1214,1457,9/5/2013 0:00,50,,,In Kind,2013 Friendraiser Ba,0,0,1
215,1215,1461,9/5/2013 0:00,300,,,In Kind,2013 Friendraiser Ba,0,1,1
216,1216,1461,12/9/2015 0:00,2748,,,In Kind,2015 In-Kind,0,1,1
217,1217,1469,6/5/2013 0:00,150,,,In Kind,2013 Golf Classic,0,1,1
218,1218,1469,5/8/2014 0:00,100,,,In Kind,2014 Golf Classic,0,0,1
219,1219,1470,4/9/2011 0:00,160,,,In Kind,2011 In-Kind,0,1,1
220,1220,1470,6/3/2011 0:00,80,,,In Kind,2011 KIDS TRY BORO T,0,0,1
221,1221,1470,12/17/2011 0:00,40,,,In Kind,2012 In Kind,0,0,1
222,1222,1470,2/11/2012 0:00,35,,,In Kind,2012 In Kind,0,0,1
223,1223,1470,3/31/2012 0:00,40,,,In Kind,2012 Special Kids Ra,0,0,1
224,1224,1470,10/23/2012 0:00,25,,,In Kind,2012 In Kind,0,0,1
225,1225,1470,12/15/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
226,1226,1470,2/9/2013 0:00,30,,,In Kind,2013 In Kind,0,0,1
227,1227,1470,11/7/2013 0:00,38,,,In Kind,2013 In Kind,0,0,1
228,1228,1487,4/4/2012 0:00,300,,,In Kind,2012 Special Kids Ra,0,1,1
229,1229,1487,5/10/2012 0:00,100,,,In Kind,2012 Golf Classic,0,0,1
230,1230,1487,4/16/2013 0:00,500,,,In Kind,2013 Special Kids Ra,0,1,1
231,1231,1491,5/10/2012 0:00,500,,,In Kind,2012 Golf Classic,0,1,1
232,1232,1491,5/9/2013 0:00,875,,,In Kind,2013 Golf Classic,0,1,1
233,1233,1491,9/5/2013 0:00,50,,,In Kind,2013 Friendraiser Ba,0,0,1
234,1234,1491,4/15/2014 0:00,2400,,,In Kind,2014 Golf Classic,0,1,1
235,1235,1491,5/8/2014 0:00,1662,,,In Kind,2014 Golf Classic,0,1,1
236,1236,1491,5/7/2015 0:00,2400,,,In Kind,2015 Golf Classic,0,1,1
237,1237,1491,5/6/2016 0:00,1500,,,In Kind,2016 In Kind,0,1,1
238,1238,1501,9/24/2015 0:00,100,,,In Kind,2015 In-Kind,0,0,1
239,1239,1501,12/30/2015 0:00,1000,,,Macedonia,2015 Cornelius Chris,0,1,1
240,1240,1504,9/27/2014 0:00,300,,,In Kind,2014 In Kind,0,1,0
241,1241,1519,7/7/2013 0:00,340,,,In Kind,2013 In Kind,0,1,1
242,1242,1519,5/23/2014 0:00,350,,,In Kind,2014 In Kind,0,1,1
243,1243,1522,9/27/2014 0:00,100,,,In Kind,2014 In Kind,0,0,1
244,1244,1522,12/31/2014 0:00,500,,,Macedonia,2014 Cornelius Chris,0,1,1
245,1245,1522,12/30/2015 0:00,400,,,Macedonia,2015 Cornelius Chris,0,1,1
246,1246,1523,3/31/2012 0:00,100,,,In Kind,2012 Special Kids Ra,0,0,1
247,1247,1524,1/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
248,1248,1524,2/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
249,1249,1524,3/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
250,1250,1524,4/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
251,1251,1524,5/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
252,1252,1524,6/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
253,1253,1524,8/1/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
254,1254,1524,9/10/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
255,1255,1524,10/5/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
256,1256,1524,7/7/2014 0:00,40,,,In Kind,2014 In Kind,0,0,1
257,1257,1524,11/5/2014 0:00,30,,,In Kind,2014 In Kind,0,0,1
258,1258,1524,12/4/2014 0:00,30,,,In Kind,2014 In Kind,0,0,1
259,1259,1576,12/16/2011 0:00,4986.09,,,In Kind,2011 In-Kind,1,1,1
260,1260,1576,9/14/2012 0:00,5237.14,,,In Kind,2012 In Kind,1,1,1
261,1261,1582,4/29/2011 0:00,480.58,,,In Kind,2011 In-Kind,0,1,1
